isin,nombre,bloque
DE0001102556,"Degiro - BUNDANL.V.21/28",conservador
DE0001135275,"Degiro - BUNDANL.V. 05/37",conservador
DE0001102580,"Degiro - BUNDANL.V.22/32",conservador
NL0015002F72,"Degiro - NL2.5%DSL15JUL2035",conservador
NL0015000LS8,"Degiro - NL 0% DSL15JAN2029",conservador
FR0000187635,"Degiro - OAT5,75%25OCT32",rentabilidad
IE000SBJO6L2,"Myinvestor - ISHARES IBONDS D 2034 TC ETF",rentabilidad
IE000I660ZF8,"Myinvestor - ISHARES IBND DEC 2032 TC ETF",rentabilidad
IE000SNLFDR7,"Myinvestor - ISR IB DEC 29 TERM AC ETF",rentabilidad
